# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 341K of event 'cycles'
# Event count (approx.): 225467342757
#
# Overhead  Command  Shared Object      Symbol                                     
# ........  .......  .................  ...........................................
#
     0.00%  pigz     [kernel.kallsyms]  [k] cpumask_next_and                       
     0.00%  pigz     [kernel.kallsyms]  [k] wl_sendup                              
     0.00%  pigz     [kernel.kallsyms]  [k] __radix_tree_lookup                    
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_rssi_compute                   
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_pkt_get_vht_hdr                    
     0.00%  pigz     [kernel.kallsyms]  [k] read_hpet                              
     0.00%  pigz     [kernel.kallsyms]  [k] osl_dma_unmap                          
     0.00%  pigz     [kernel.kallsyms]  [k] __kmalloc_node_track_caller            
     0.00%  pigz     [kernel.kallsyms]  [k] sch_direct_xmit                        
     0.00%  pigz     [kernel.kallsyms]  [k] enqueue_hrtimer                        
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_update_metrics                     
     0.00%  pigz     [kernel.kallsyms]  [k] osl_pktprio                            
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_v4_rcv                             
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_tssivisible_thresh_acphy       
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_ratespec_nss                       
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_key_iv_update                      
     0.00%  pigz     [kernel.kallsyms]  [k] irq_exit                               
     0.00%  pigz     [kernel.kallsyms]  [k] raw_notifier_call_chain                
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_ratesel_gettxrate                  
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_11h_process_beacon                 
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_rate_mcs2rate                      
     0.00%  pigz     [kernel.kallsyms]  [k] osl_pktdata                            
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_txfifo                             
     0.00%  pigz     [kernel.kallsyms]  [k] __sk_dst_check                         
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_senddisassoc                       
     0.00%  pigz     [kernel.kallsyms]  [k] ip_local_out_sk                        
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_stf_get_pwrperrate                 
     0.00%  pigz     [kernel.kallsyms]  [k] ip_queue_xmit                          
     0.00%  pigz     [kernel.kallsyms]  [k] retint_check                           
     0.00%  pigz     [kernel.kallsyms]  [k] sock_wfree                             
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_txh_set_epoch                      
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_bmac_txstatus                      
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_lq_rssi_pktrxh_cal                 
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_prep_sdu_fast                      
     0.00%  pigz     [kernel.kallsyms]  [k] ip_finish_output                       
     0.00%  pigz     [kernel.kallsyms]  [k] __local_bh_enable_ip                   
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_bsscfg_find_by_bssid               
     0.00%  pigz     [kernel.kallsyms]  [k] sk_reset_timer                         
     0.00%  pigz     [kernel.kallsyms]  [k] __inet_lookup_established              
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_pm_pending_complete                


